X,Y,K,J
10.0,62,1,21.6088162293358
10.0,63,1,21.874817201960454
10.0,64,1,20.386030456149953
10.0,65,1,20.629687775829197
10.0,66,1,20.935277158624015
10.0,67,1,20.6802835680697
10.0,68,1,20.94734997871295
10.0,69,1,20.95213794196725
10.0,70,1,21.3496266421163
10.0,71,1,20.911059787507153
10.0,72,1,21.051049700233676
10.0,73,1,21.341069592144827
10.0,74,1,21.487657782622698
10.0,75,1,20.678978446489058
10.0,76,1,20.958954280266465
10.0,77,1,20.290657378378178
10.0,78,1,20.484254196681082
10.0,79,1,20.049590807901957
10.0,80,1,20.88573808553086
10.0,62,3,29.1088162293358
10.0,63,3,29.23481720196046
10.0,64,3,26.786030456149952
10.0,65,3,27.0096877758292
10.0,66,3,26.195277158624013
10.0,67,3,26.240283568069703
10.0,68,3,26.507349978712952
10.0,69,3,26.792137941967248
10.0,70,3,26.609626642116297
10.0,71,3,25.751059787507153
10.0,72,3,24.631049700233675
10.0,73,3,24.921069592144825
10.0,74,3,24.9276577826227
10.0,75,3,24.398978446489057
10.0,76,3,24.678954280266463
10.0,77,3,24.71065737837818
10.0,78,3,24.764254196681083
10.0,79,3,23.849590807901958
10.0,80,3,23.625738085530855
10.0,62,5,35.888816229335795
10.0,63,5,36.154817201960455
10.0,64,5,36.306030456149955
10.0,65,5,33.0896877758292
10.0,66,5,31.155277158624013
10.0,67,5,31.980283568069698
10.0,68,5,32.24734997871295
10.0,69,5,32.39213794196724
10.0,70,5,30.0296266421163
10.0,71,5,28.611059787507152
10.0,72,5,28.47104970023367
10.0,73,5,28.76106959214482
10.0,74,5,28.7676577826227
10.0,75,5,28.238978446489057
10.0,76,5,28.378954280266463
10.0,77,5,28.130657378378174
10.0,78,5,27.764254196681083
10.0,79,5,28.369590807901954
10.0,80,5,28.585738085530856
10.0,62,7,45.9088162293358
10.0,63,7,46.03481720196046
10.0,64,7,54.506030456149944
10.0,65,7,44.64968777582919
10.0,66,7,42.015277158624016
10.0,67,7,39.9602835680697
10.0,68,7,40.22734997871295
10.0,69,7,40.372137941967246
10.0,70,7,38.6496266421163
10.0,71,7,37.51105978750715
10.0,72,7,37.091049700233675
10.0,73,7,37.381069592144826
10.0,74,7,37.247657782622696
10.0,75,7,36.15897844648906
10.0,76,7,35.87895428026646
10.0,77,7,35.770657378378175
