X,Y,K,J
14.0,61.0,1,19.220929241014254
14.0,61.5,1,18.609782665248236
14.0,62.0,1,19.49485513958495
14.0,62.5,1,18.902058227984504
14.0,63.0,1,19.031751386811443
14.0,63.5,1,19.157972489922358
14.0,64.0,1,19.358791025253215
14.0,64.5,1,19.458572345062
14.0,65.0,1,19.311644035835318
14.0,65.5,1,19.44306443022911
14.0,66.0,1,19.904544267109536
14.0,66.5,1,19.15980704905982
14.0,67.0,1,19.511270757612635
14.0,67.5,1,19.296142108935154
14.0,68.0,1,19.638692361143924
14.0,68.5,1,19.599800631978454
14.0,69.0,1,19.92783063921126
14.0,69.5,1,18.750626459166654
14.0,70.0,1,20.0524325383223
14.0,70.5,1,19.022691388887832
14.1,61.0,1,19.241052402537534
14.1,61.5,1,18.62627809574655
14.1,62.0,1,19.51557312263745
14.1,62.5,1,18.921307141470372
14.1,63.0,1,19.046986510242984
14.1,63.5,1,19.17337749256438
14.1,64.0,1,19.374678882886023
14.1,64.5,1,19.474429541070084
14.1,65.0,1,19.325713283695798
14.1,65.5,1,19.462629734733518
14.1,66.0,1,19.921832710751843
14.1,66.5,1,19.176852027164777
14.1,67.0,1,19.527959443412584
14.1,67.5,1,19.31275931103343
14.1,68.0,1,19.653963788473725
14.1,68.5,1,19.615954066969433
14.1,69.0,1,19.943332481085875
14.1,69.5,1,18.76883145088336
14.1,70.0,1,20.08188706092404
14.1,70.5,1,19.04002511864156
14.2,61.0,1,19.270894356577443
14.2,61.5,1,18.644078929137834
14.2,62.0,1,18.801617528719937
14.2,62.5,1,18.959059037502684
14.2,63.0,1,19.081806273834594
14.2,63.5,1,19.21937737159477
14.2,64.0,1,19.404473208457667
14.2,64.5,1,19.51542336885406
14.2,65.0,1,19.352605573136522
14.2,65.5,1,19.495379630004738
14.2,66.0,1,19.980508408834854
14.2,66.5,1,19.230427834153417
14.2,67.0,1,19.553660005881508
14.2,67.5,1,19.34114814447127
14.2,68.0,1,19.689237975354175
14.2,68.5,1,19.648045226532577
14.2,69.0,1,19.97818975765875
14.2,69.5,1,18.79312525078647
14.2,70.0,1,20.11623703421873
14.2,70.5,1,19.084562539408232
14.299999999999999,61.0,1,19.288736299866745
14.299999999999999,61.5,1,18.66456171787611
14.299999999999999,62.0,1,19.580936313591742
14.299999999999999,62.5,1,18.97540678499201
14.299999999999999,63.0,1,19.09953807821507
14.299999999999999,63.5,1,19.242588493742872
14.299999999999999,64.0,1,19.426537234307222
14.299999999999999,64.5,1,19.531979635715487
14.299999999999999,65.0,1,19.371476935484896
14.299999999999999,65.5,1,19.513716341284564
14.299999999999999,66.0,1,20.00892184476283
14.299999999999999,66.5,1,19.24810034486969
14.299999999999999,67.0,1,19.56895941910287
14.299999999999999,67.5,1,19.36341889955326
14.299999999999999,68.0,1,19.708737420596933
14.299999999999999,68.5,1,19.678078762217336
14.299999999999999,69.0,1,19.998807497327686
14.299999999999999,69.5,1,18.810965471038724
14.299999999999999,70.0,1,20.146743964132785
14.299999999999999,70.5,1,19.107195789913632
14.399999999999999,61.0,1,19.00955520768349
14.399999999999999,61.5,1,18.726333740909453
14.399999999999999,62.0,1,19.309910529378428
14.399999999999999,62.5,1,19.03163595460061
14.399999999999999,63.0,1,19.156868933402073
14.399999999999999,63.5,1,19.299849606958162
14.399999999999999,64.0,1,18.16596226354304
14.399999999999999,64.5,1,18.32689081571752
14.399999999999999,65.0,1,18.448468470237138
14.399999999999999,65.5,1,18.59671389832588
14.399999999999999,66.0,1,19.73039872052026
14.399999999999999,66.5,1,18.18885587312035
14.399999999999999,67.0,1,19.990361943854914
14.399999999999999,67.5,1,18.03021868759778
14.399999999999999,68.0,1,19.850958337036936
14.399999999999999,68.5,1,18.061445722631703
14.399999999999999,69.0,1,19.30971182921033
14.399999999999999,69.5,1,18.311823171489408
14.399999999999999,70.0,1,19.306441127586734
14.399999999999999,70.5,1,18.60537833488999
14.499999999999998,61.0,1,19.042236711143904
14.499999999999998,61.5,1,18.761028746378614
14.499999999999998,62.0,1,19.353667883571987
14.499999999999998,62.5,1,19.070703102947355
14.499999999999998,63.0,1,19.19304477430359
14.499999999999998,63.5,1,19.325868869279116
14.499999999999998,64.0,1,18.22874733121354
14.499999999999998,64.5,1,18.362094177067213
14.499999999999998,65.0,1,18.49452629630158
14.499999999999998,65.5,1,18.620508119921812
